model_id,topic,question,option_A,option_B,option_C,option_D,answer,explanation
HAJERI/gemma-3-27b-endocrinology-scenario-mcq-it-lora,Endocrine neoplasia & hereditary syndromes,"A 28-year-old woman with a family history of pituitary adenomas, renal cysts, and pancreatic neuroendocrine tumors presents for evaluation. She reports new-onset galactorrhea and irregular menses.","MEN1 should be strongly suspected, and serum calcium, prolactin, and IGF-1 should be checked.","MEN2A is the most likely diagnosis, requiring RET mutation analysis and calcitonin levels.","Carney complex is suspected, requiring GNAS1 mutation testing and echocardiography.","Isolated familial hyperprolactinemia is the most probable diagnosis, and a brain MRI is sufficient.",A,"The constellation of pituitary adenoma (causing galactorrhea/menstrual irregularities), renal cysts, and pancreatic NETs is highly characteristic of MEN1. Calcium is checked to assess for parathyroid adenomas, prolactin for pituitary tumors, and IGF-1 to screen for acromegaly."
HAJERI/gemma-3-27b-endocrinology-scenario-mcq-it-lora,Pediatric endocrinology & growth/puberty,"A 14-year-old girl presents with primary amenorrhea (no menses by age 15) and has normal female karyotype (46,XX). She has normal ovarian function (confirmed by labs) but reports consistently intense exercise (long-distance running 5 days/week) and a restrictive diet focused on maintaining a very low body weight.",Constitutional delay of puberty is the most likely diagnosis.,She likely has Kallmann syndrome requiring GnRH therapy.,Hypothalamic amenorrhea due to functional hypogonadotropic hypogonadism is the most likely diagnosis.,She likely has primary ovarian failure requiring estrogen replacement.,C,"The scenario points to functional hypogonadotropic hypogonadism. Intense exercise and restrictive dieting can lead to low energy availability, suppressing GnRH pulse generator function and resulting in amenorrhea *despite* normal ovarian function. This is hypothalamic amenorrhea."
HAJERI/gemma-3-270m-endocrinology-scenario-mcq-it-lora,Diabetes mellitus & hypoglycemia,,,,,,,
HAJERI/gemma-3-270m-endocrinology-scenario-mcq-it-lora,Thyroid disorders,,,,,,,
HAJERI/gemma-3-270m-endocrinology-scenario-mcq-it-lora,Adrenal disorders,,,,,,,
HAJERI/gemma-3-270m-endocrinology-scenario-mcq-it-lora,Pituitary & hypothalamic disorders,,,,,,,
HAJERI/gemma-3-270m-endocrinology-scenario-mcq-it-lora,"Calcium, parathyroid & metabolic bone disease",,,,,,,
HAJERI/gemma-3-270m-endocrinology-scenario-mcq-it-lora,Female reproductive endocrinology,,,,,,,
HAJERI/gemma-3-270m-endocrinology-scenario-mcq-it-lora,Male reproductive endocrinology,,,,,,,
HAJERI/gemma-3-270m-endocrinology-scenario-mcq-it-lora,"Obesity, lipids & nutrition",,,,,,,
HAJERI/gemma-3-270m-endocrinology-scenario-mcq-it-lora,Endocrine neoplasia & hereditary syndromes,,,,,,,
HAJERI/gemma-3-270m-endocrinology-scenario-mcq-it-lora,Pediatric endocrinology & growth/puberty,,,,,,,
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-lora,Diabetes mellitus & hypoglycemia,A 68-year-old patient with a long history of poorly controlled type 2 diabetes presents to the emergency department with altered mental status and a blood glucose of 45 mg/dL. The patient is currently on oral hypoglycemic agents but reports missing several doses of medication.,Administer intravenous dextrose 50% and monitor glucose closely.,Administer glucagon intramuscularly and observe.,Administer intravenous normal saline and check for ketones.,Administer a rapid-acting oral glucose and recheck blood glucose in 15 minutes.,A,"This patient is experiencing severe hypoglycemia requiring immediate intervention. Given the altered mental status, intravenous dextrose is the fastest and most reliable way to raise blood glucose and prevent further neurological compromise. Glucagon is an option if the patient is unable to take oral glucose, but IV dextrose is preferred in this scenario."
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-lora,Thyroid disorders,"A 68-year-old woman with a long-standing history of Graves' disease, currently in stable remission on levothyroxine, presents with new-onset atrial fibrillation. Her TSH is 0.3 mIU/L (normal range 0.4-4.0 mIU/L), and free T4 is 1.0 ng/dL (normal range 0.8-1.2 ng/dL). She is asymptomatic otherwise. Her cardiologist recommends initiating an anticoagulant. What is the most appropriate endocrine management?",Immediately discontinue levothyroxine and re-evaluate thyroid function in 6 weeks.,Increase levothyroxine dose to further suppress TSH.,"Continue current levothyroxine dose and manage atrial fibrillation with anticoagulation, monitoring thyroid function periodically.",Add propranolol to control heart rate and monitor thyroid function closely without altering levothyroxine.,C,"The patient is in stable remission with TSH slightly low but free T4 within normal limits. The atrial fibrillation is likely an independent cardiac event, not a sign of overt hyperthyroidism. Discontinuing levothyroxine would induce hypothyroidism. Increasing levothyroxine would worsen the subclinical hyperthyroidism risk. Propranolol addresses the arrhythmia but doesn't correct the underlying thyroid status. The best approach is to maintain current levothyroxine and focus on anticoagulation for the atrial fibrillation, with routine thyroid monitoring."
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-lora,Adrenal disorders,"A 40-year-old woman with a history of bilateral adrenalectomy for Cushing's disease presents with nausea, vomiting, hypotension, and abdominal pain. Her cortisol is undetectable. She has not been consistently taking hydrocortisone. What is the most likely diagnosis and immediate management priority?",Acute adrenal crisis due to primary adrenal insufficiency; administer hydrocortisone and IV fluids.,Nelson syndrome; monitor for pituitary adenoma growth; no immediate intervention needed.,Adrenal rest tumor secretion; obtain abdominal CT scan; start fludrocortisone.,Hypercalcemia of malignancy; check calcium levels; administer bisphosphonates.,A,"This patient has secondary adrenal insufficiency following adrenalectomy and has likely missed doses of replacement hydrocortisone, leading to acute adrenal crisis. The priority is stress dose hydrocortisone and IV fluids to stabilize her."
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-lora,Pituitary & hypothalamic disorders,"A 32-year-old woman presents with amenorrhea, galactorrism, and visual field disturbances. MRI reveals a 2 cm pituitary adenoma. Her prolactin level is 85 ng/mL. She desires fertility. What is the MOST appropriate initial management strategy?","Start cabergoline immediately, aiming for prolactin suppression and monitoring for visual field improvement.","Surgical resection of the adenoma, prioritizing visual field restoration.","Observation with serial prolactin measurements and visual field testing, without initial medical therapy.","Initiate dopamine agonist therapy (e.g., cabergoline) but defer surgery until medical management fails or significant visual field compromise occurs.",D,"Dopamine agonists (like cabergoline) are typically the first-line treatment for prolactinomas, especially in women desiring fertility. Surgery is reserved for cases of persistent hyperprolactinemia despite medical therapy, significant visual field compromise that doesn't improve with medication, or large adenomas causing mass effect."
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-lora,"Calcium, parathyroid & metabolic bone disease","A 62-year-old woman with a history of osteoporosis presents with new-onset muscle weakness, constipation, and a calcium level of 11.8 mg/dL (normal albumin). Her PTH is 65 pg/mL (normal range 10-60 pg/mL). Vitamin D level is 18 ng/mL. She denies any recent trauma. Bone density testing 2 years ago showed stable T-scores. What is the most likely explanation for her presentation?","Primary hyperparathyroidism, early and mild, masked by vitamin D deficiency.","Secondary hyperparathyroidism due to chronic, mild vitamin D deficiency causing transient hypercalcemia.",Familial hypocalciuric hypercalcemia (FHH).,Lithium-induced hypercalcemia.,B,"The patient has mild hypercalcemia and a PTH in the upper limit of normal. Her low vitamin D is a strong predisposing factor for secondary hyperparathyroidism, which can cause transient hypercalcemia and the described symptoms. The stable bone density rules out aggressive primary hyperparathyroidism. FHH typically presents with lower PTH and calcium levels. Lithium is not mentioned in the history."
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-lora,Female reproductive endocrinology,A 32-year-old woman with a history of irregular periods and hirsutism is found to have a significantly elevated serum testosterone level. She denies any virilizing symptoms beyond mild hirsutism. Ultrasound of the ovaries is normal. Further investigation is needed to determine the source of the testosterone. What is the most appropriate next step?,Measure DHEA-S levels.,Perform an overnight dexamethasone suppression test.,Measure SHBG levels.,Repeat the testosterone measurement with a different laboratory.,B,"In a woman with elevated testosterone and normal ovaries, excluding adrenal androgen production is crucial. The overnight dexamethasone suppression test assesses for ACTH-dependent Cushing's syndrome, which can cause adrenal androgen hypersecretion. DHEA-S would be elevated if adrenal androgen production is the cause, but the dexamethasone test is a more direct assessment of ACTH dependence. SHBG reflects peripheral androgen activity, and repeating the test is less informative initially."
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-lora,Male reproductive endocrinology,"A 45-year-old man with a history of cryptorchidism presents for evaluation of infertility. His serum FSH is significantly elevated, and his testosterone is low. Ultrasound reveals bilateral micronodular testicular hyperplasia. What is the most likely underlying etiology?",Klinefelter syndrome,Primary testicular failure due to Sertoli cell-only dysfunction,Kallmann syndrome,Aging (androgen decline in the elderly),B,"The combination of elevated FSH, low testosterone, cryptorchidism, and micronodular testicular hyperplasia strongly suggests primary testicular failure due to Sertoli cell-only dysfunction. Sertoli cells are responsible for FSH responsiveness and sperm production; their absence leads to elevated FSH and impaired testosterone production despite the gonadotropin stimulation. Micronodular testicular hyperplasia is a characteristic finding in this condition. Klinefelter syndrome typically presents with low testosterone, high FSH, and a 47,XXY karyotype (not mentioned). Kallmann syndrome involves anosmia and hypogonadotropic hypogonadism. Androgen decline in the elderly is a more gradual process."
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-lora,"Obesity, lipids & nutrition",A 42-year-old male with a BMI of 33 kg/m² and a waist circumference of 42 inches is found to have a fasting triglyceride level of 280 mg/dL and an HDL cholesterol of 35 mg/dL. He reports consuming fast food 3-4 times per week and drinking sugar-sweetened beverages daily. Which of the following lifestyle interventions would be MOST appropriate as an initial step?,Prescription-only weight loss medication.,A very low-calorie diet (VLCD) with medical supervision.,"Dietary changes focused on reducing saturated fat, trans fat, added sugars, and increasing fiber intake, along with increased physical activity.",Bariatric surgery consultation.,C,This patient meets criteria for metabolic syndrome and has dyslipidemia. Initial management should focus on modifiable lifestyle factors – dietary changes and increased physical activity – to address both obesity and dyslipidemia before considering more aggressive interventions.
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-lora,Endocrine neoplasia & hereditary syndromes,A 30-year-old patient is diagnosed with a MEN1 tumor (multiple endocrine neoplasia type 1). They have a history of duodenal neuroendocrine tumor and a parathyroid adenoma. Which of the following screening tests is MOST crucial to add to their routine surveillance?,Annual monitoring of serum prolactin.,Annual monitoring of serum growth hormone and IGF-1.,Annual endoscopic ultrasound (EUS) for pancreatic neuroendocrine tumors (PNETs).,Annual bone density scan.,C,"MEN1 is associated with a high risk of PNETs, often in the pancreas. EUS is the preferred surveillance method for detecting these tumors. Prolactin, growth hormone/IGF-1, and bone density are important considerations in MEN1, but PNET screening is the highest priority given the existing duodenal NET and parathyroid disease."
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-lora,Pediatric endocrinology & growth/puberty,"A 12-year-old boy presents with significantly delayed puberty (no pubic hair, no testicular enlargement) and a height at the 3rd percentile for age. His bone age is 4 years behind his chronological age. Karyotype is normal. His parents are healthy and had normal puberty. What is the MOST likely underlying diagnosis?",Constitutional Delay of Growth and Puberty,Prader-Willi Syndrome,Hypogonadotropic Hypogonadism,Klinefelter Syndrome,C,"The combination of significantly delayed puberty, poor growth (height at 3rd percentile), and a markedly delayed bone age (4 years) strongly suggests a hormonal deficiency causing both impaired growth and delayed puberty. While constitutional delay can have delayed puberty, the significant growth failure and substantial bone age delay are more characteristic of hypogonadotropic hypogonadism. Prader-Willi has distinct features (hyperphagia later). Klinefelter syndrome has an abnormal karyotype (which is normal here)."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-merged-fp16,Diabetes mellitus & hypoglycemia,"You are evaluating a patient with suspected diabetes mellitus.
What is the most appropriate initial screening test?
Options:",Fasting plasma glucose,Random plasma glucose,Oral glucose tolerance test,Glycosylated hemoglobin (HbA1c),A,"A: - Correct: Fasting plasma glucose is the most sensitive test for diagnosing diabetes mellitus.
B: - Incorrect: Random plasma glucose is not recommended for diagnosing diabetes.
C: - Incorrect: The oral glucose tolerance test is used for diagnosing diabetes but is not the first test.
D: - Incorrect: HbA1c is used to assess long-term glucose control but is not the initial screening test."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-merged-fp16,Thyroid disorders,"You are evaluating a patient with suspected hyperthyroidism.
What is the most common cause of hyperthyroidism in the United States?
Options:",Graves' disease,Toxic multinodular goiter,Thyroiditis,Struma ovarii,A,"A: - Correct: Graves' disease is the most common cause of hyperthyroidism in the United States.
B: - Incorrect: Toxic multinodular goiter is more common in iodine-deficient areas.
C: - Incorrect: Thyroiditis can cause hyperthyroidism, but Graves' disease is more common.
D: - Incorrect: Struma ovarii is a rare cause of hyperthyroidism."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-merged-fp16,Adrenal disorders,"You are evaluating a patient with suspected adrenal insufficiency.
What is the most appropriate initial laboratory test to confirm the diagnosis?
Options:",Serum cortisol,ACTH stimulation test,Plasma aldosterone,24-hour urine free cortisol,A,"A: - Correct: Serum cortisol is the most reliable test to confirm adrenal insufficiency.
B: - Incorrect: The ACTH stimulation test is used to confirm adrenal insufficiency but is not the first test.
C: - Incorrect: Plasma aldosterone is used to evaluate for primary aldosteronism, not adrenal insufficiency.
D: - Incorrect: 24-hour urine free cortisol is used to screen for Cushing's syndrome, not adrenal insufficiency."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-merged-fp16,Pituitary & hypothalamic disorders,"You are evaluating a patient with polyuria and polydipsia.
What is the most likely diagnosis?
Options:",Diabetes insipidus,Diabetes mellitus,Nephrogenic diabetes insipidus,Central diabetes insipidus,A,"A: - Correct: Diabetes insipidus is characterized by polyuria and polydipsia due to impaired water reabsorption in the kidneys.
B: - Incorrect: Diabetes mellitus is characterized by hyperglycemia and is not associated with polyuria or polydipsia.
C: - Incorrect: Nephrogenic diabetes insipidus is also characterized by polyuria and polydipsia but is due to renal resistance to antidiuretic hormone (ADH).
D: - Incorrect: Central diabetes insipidus is caused by a deficiency of ADH and is typically treated with desmopressin."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-merged-fp16,"Calcium, parathyroid & metabolic bone disease","You are evaluating a patient with osteoporosis.
What is the most common cause of osteoporosis in men?
Options:",Primary hyperparathyroidism,Secondary hyperparathyroidism,Osteomalacia,Osteoporosis due to glucocorticoids,D,"A: - Incorrect: Primary hyperparathyroidism is a cause of osteoporosis in women, but not the most common cause in men.
B: - Incorrect: Secondary hyperparathyroidism is a cause of osteoporosis in men, but not the most common cause.
C: - Incorrect: Osteomalacia is a cause of osteoporosis, but not the most common cause in men.
D: - Correct: Osteoporosis due to glucocorticoids is the most common cause of osteoporosis in men."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-merged-fp16,Female reproductive endocrinology,"You are evaluating a 40-year-old woman with amenorrhea and galactorrhea. Her prolactin level is elevated.
What is the most likely cause of her amenorrhea?
Options:",Prolactinoma,Hypothyroidism,Polycystic ovary syndrome,Pregnancy,A,"A: - Prolactinomas are the most common cause of hyperprolactinemia and can lead to amenorrhea.
B: - Hypothyroidism can cause amenorrhea, but it is not typically associated with galactorrhea.
C: - Polycystic ovary syndrome can cause amenorrhea, but it is not associated with galactorrhea.
D: - Pregnancy can cause amenorrhea and galactorrhea, but this patient is not pregnant."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-merged-fp16,Male reproductive endocrinology,"You are evaluating a 55-year-old man with polyuria and polydipsia.
What is the most likely diagnosis?
Options:",Diabetes insipidus,Diabetes mellitus,Prostatic hypertrophy,Renal failure,A,"A: - Correct: Diabetes insipidus is characterized by polyuria and polydipsia due to impaired water reabsorption by the kidneys.
B: - Incorrect: Diabetes mellitus typically presents with hyperglycemia and polyuria, but not with the specific symptoms of diabetes insipidus.
C: - Incorrect: Prostatic hypertrophy can cause urinary symptoms, but it does not explain the polyuria and polydipsia seen in this patient.
D: - Incorrect: Renal failure can cause polyuria, but it is not the most likely diagnosis in this patient."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-merged-fp16,"Obesity, lipids & nutrition","You are evaluating a patient with obesity.
What is the most common cause of obesity in the United States?
Options:",Genetic predisposition,Excessive food intake,Lack of physical activity,Polycystic ovary syndrome,B,"A: - Incorrect: While genetics play a role, excessive food intake is the most common cause of obesity overall.
B: - Correct: Excessive food intake is the most common cause of obesity in the United States.
C: - Incorrect: Lack of physical activity contributes to obesity but is not the most common cause.
D: - Incorrect: PCOS is a hormonal cause of obesity but is not the most common overall."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-merged-fp16,Endocrine neoplasia & hereditary syndromes,"You are evaluating a patient with a history of medullary thyroid carcinoma (MTC) and pheochromocytoma.
Which of the following is a characteristic genetic mutation pattern in MEN2A?",RET proto-oncogene mutation in 90% of cases.,Germline mutations in the MEN1 gene in 50% of cases.,Germline mutations in the RET proto-oncogene in 50% of cases.,Germline mutations in the VHL gene in 25% of cases.,C,"A: - Incorrect: RET mutations are characteristic of MEN2A.
B: - Incorrect: MEN1 mutations are characteristic of MEN1.
C: - Correct: Germline mutations in the RET proto-oncogene are characteristic of MEN2A.
D: - Incorrect: VHL gene mutations are characteristic of von Hippel-Lindau disease."
HAJERI/gemma-3-4b-endocrinology-scenario-mcq-it-merged-fp16,Pediatric endocrinology & growth/puberty,"You are evaluating a 12-year-old boy with short stature and delayed puberty. His bone age is delayed by 2 years.
What is the most likely diagnosis?
Options:",Constitutional delay in growth and adolescence,Growth hormone deficiency,Hypothyroidism,Turner syndrome,A,"A: - Correct: Constitutional delay in growth and adolescence is characterized by delayed growth and puberty, with a normal bone age and normal growth velocity.
B: - Incorrect: Growth hormone deficiency would cause short stature and delayed bone age, but not delayed puberty.
C: - Incorrect: Hypothyroidism would cause short stature and delayed bone age, but not delayed puberty.
D: - Incorrect: Turner syndrome is characterized by short stature, webbed neck, and other physical features, but not delayed puberty."
HAJERI/gemma-3-27b-endocrinology-scenario-mcq-it-merged-fp16,Diabetes mellitus & hypoglycemia,"A 60-year-old woman with type 2 diabetes presents with confusion and sweating. Her blood glucose is 40 mg/dL.
What is the most appropriate initial treatment?",Oral glucose,Intravenous glucose,Glucagon injection,Insulin administration,A,"A: - Correct: Oral glucose is the first-line treatment for mild hypoglycemia in alert patients.
B: - Incorrect: Intravenous glucose is used for severe hypoglycemia or when the patient is unable to swallow.
C: - Incorrect: Glucagon is used for severe hypoglycemia when the patient is unconscious or unable to swallow.
D: - Incorrect: Insulin administration would worsen hypoglycemia."
HAJERI/gemma-3-27b-endocrinology-scenario-mcq-it-merged-fp16,Thyroid disorders,"A 45-year-old woman presents with fatigue, weight gain, and cold intolerance. Her TSH is elevated, and free T4 is low.
What is the most likely diagnosis?",Hypothyroidism,Hyperthyroidism,Cushing's syndrome,Addison's disease,A,"A: - Correct: Elevated TSH and low free T4 indicate primary hypothyroidism.
B: - Incorrect: Hyperthyroidism would show low TSH and elevated free T4.
C: - Incorrect: Cushing's syndrome presents with elevated cortisol, not thyroid dysfunction.
D: - Incorrect: Addison's disease involves adrenal insufficiency, not thyroid dysfunction."
HAJERI/gemma-3-27b-endocrinology-scenario-mcq-it-merged-fp16,Adrenal disorders,"A 45-year-old woman presents with weight gain, moon facies, and purple striae. Her 24-hour urinary free cortisol is elevated.
What is the most likely diagnosis?",Cushing's syndrome,Addison's disease,Pheochromocytoma,Hyperthyroidism,A,"A: - Correct: Cushing's syndrome is characterized by elevated cortisol levels, leading to symptoms such as weight gain, moon facies, and purple striae.
B: - Incorrect: Addison's disease presents with symptoms of adrenal insufficiency, such as fatigue, weight loss, and hypotension.
C: - Incorrect: Pheochromocytoma presents with episodic hypertension, palpitations, and sweating, not the symptoms seen in this patient.
D: - Incorrect: Hyperthyroidism presents with symptoms such as weight loss, tremors, and heat intolerance, not the features seen in this patient."
HAJERI/gemma-3-27b-endocrinology-scenario-mcq-it-merged-fp16,Pituitary & hypothalamic disorders,"A 40-year-old woman presents with fatigue, weight loss, and hypotension. Her cortisol level is low, and ACTH is elevated.
What is the most likely diagnosis?",Addison's disease,Cushing's syndrome,Hypopituitarism,Pheochromocytoma,A,"A: - Correct: Addison's disease is characterized by adrenal insufficiency, with low cortisol and elevated ACTH levels.
B: - Incorrect: Cushing's syndrome involves elevated cortisol levels, not low cortisol.
C: - Incorrect: Hypopituitarism would cause low ACTH and cortisol levels, but ACTH would not be elevated.
D: - Incorrect: Pheochromocytoma presents with episodic hypertension and symptoms related to catecholamine excess, not adrenal insufficiency."
HAJERI/gemma-3-27b-endocrinology-scenario-mcq-it-merged-fp16,"Calcium, parathyroid & metabolic bone disease","A 60-year-old woman presents with fatigue, bone pain, and constipation. Her calcium level is 11.5 mg/dL, and her PTH is elevated.
What is the most likely diagnosis?",Primary hyperparathyroidism,Secondary hyperparathyroidism,Hypercalcemia of malignancy,Vitamin D toxicity,A,"A: - Correct: Primary hyperparathyroidism is characterized by elevated calcium and PTH levels, often due to a parathyroid adenoma.
B: - Incorrect: Secondary hyperparathyroidism is typically seen in chronic kidney disease and is associated with low calcium and elevated PTH.
C: - Incorrect: Hypercalcemia of malignancy is usually associated with low PTH and elevated calcium due to tumor secretion of PTHrP.
D: - Incorrect: Vitamin D toxicity can cause hypercalcemia, but it is not associated with elevated PTH levels."
HAJERI/gemma-3-27b-endocrinology-scenario-mcq-it-merged-fp16,Female reproductive endocrinology,"A 30-year-old woman presents with amenorrhea and galactorrhea. Her prolactin level is elevated.
What is the most likely cause of her symptoms?",Pituitary adenoma,Hypothyroidism,Pregnancy,Polycystic ovary syndrome,A,"A: - Correct: A pituitary adenoma is the most common cause of elevated prolactin and galactorrhea.
B: - Incorrect: Hypothyroidism can cause elevated prolactin, but it is less likely to cause galactorrhea.
C: - Incorrect: Pregnancy can cause elevated prolactin, but it would not cause amenorrhea and galactorrhea in a non-pregnant woman.
D: - Incorrect: Polycystic ovary syndrome can cause amenorrhea, but it does not cause galactorrhea or elevated prolactin."
HAJERI/gemma-3-27b-endocrinology-scenario-mcq-it-merged-fp16,Male reproductive endocrinology,"A 45-year-old man presents with decreased libido, fatigue, and weight gain. His serum testosterone is low, and his LH and FSH are also low.
What is the most likely diagnosis?",Primary hypogonadism,Secondary hypogonadism,Klinefelter syndrome,Kallmann syndrome,B,"A: - Incorrect: Primary hypogonadism would show elevated LH and FSH due to lack of negative feedback from the testes.
B: - Correct: Secondary hypogonadism is caused by a pituitary or hypothalamic dysfunction, leading to low testosterone and low LH/FSH.
C: - Incorrect: Klinefelter syndrome is a genetic disorder that causes primary hypogonadism.
D: - Incorrect: Kallmann syndrome is a form of hypogonadotropic hypogonadism, but it is usually associated with anosmia or hyposmia."
HAJERI/gemma-3-27b-endocrinology-scenario-mcq-it-merged-fp16,"Obesity, lipids & nutrition","A 50-year-old male with a BMI of 32 has a fasting glucose of 110 mg/dL and a triglyceride level of 250 mg/dL.
What is the most likely diagnosis?",Type 1 diabetes,Metabolic syndrome,Hyperthyroidism,Cushing's syndrome,B,"A: - Incorrect: Type 1 diabetes typically presents with elevated blood glucose and low insulin levels, not elevated triglycerides.
B: - Correct: Metabolic syndrome is diagnosed when a patient has three or more of the following: elevated waist circumference, elevated triglycerides, low HDL, high blood pressure, and elevated fasting glucose.
C: - Incorrect: Hyperthyroidism typically presents with weight loss, not elevated triglycerides or glucose.
D: - Incorrect: Cushing's syndrome typically presents with central obesity, moon facies, and purple striae, not elevated triglycerides or glucose."
HAJERI/gemma-3-27b-endocrinology-scenario-mcq-it-merged-fp16,Endocrine neoplasia & hereditary syndromes,"A 40-year-old woman with a family history of endocrine tumors presents with recurrent kidney stones and elevated calcium levels.
What is the most likely diagnosis?",Multiple endocrine neoplasia type 1 (MEN1),Multiple endocrine neoplasia type 2 (MEN2),Familial hypocalciuric hypercalcemia,Primary hyperparathyroidism,A,"A: - Correct: MEN1 is characterized by parathyroid tumors, pancreatic neuroendocrine tumors, and pituitary adenomas.
B: - Incorrect: MEN2 is associated with medullary thyroid cancer, pheochromocytoma, and parathyroid hyperplasia.
C: - Incorrect: Familial hypocalciuric hypercalcemia presents with low urinary calcium excretion.
D: - Incorrect: Primary hyperparathyroidism can cause hypercalcemia but is not associated with a family history of endocrine tumors."
HAJERI/gemma-3-27b-endocrinology-scenario-mcq-it-merged-fp16,Pediatric endocrinology & growth/puberty,"A 12-year-old boy presents with delayed puberty. His bone age is 10 years, and his height is at the 25th percentile.
What is the most likely cause of his delayed puberty?",Constitutional delay in growth and adolescence,Hypogonadotropic hypogonadism,Klinefelter syndrome,Turner syndrome,A,"A: - Correct: Constitutional delay in growth and adolescence is the most common cause of delayed puberty in boys, characterized by a delay in bone age and normal height velocity.
B: - Incorrect: Hypogonadotropic hypogonadism would typically present with low testosterone levels and other signs of hypogonadism, which are not described here.
C: - Incorrect: Klinefelter syndrome typically presents with tall stature, small testes, and gynecomastia, which are not seen in this patient.
D: - Incorrect: Turner syndrome is a chromosomal disorder that affects girls, not boys."
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-fp16-gguf,Diabetes mellitus & hypoglycemia,"A 45-year-old woman presents with fatigue, weight loss, and constipation. Her TSH is elevated, and her free T4 is low.
What is the most appropriate treatment?",Levothyroxine,Methimazole,Radioactive iodine,Thyroidectomy,A,"A: - Correct: Levothyroxine is the treatment of choice for hypothyroidism.
B: - Incorrect: Methimazole is used to treat hyperthyroidism, not hypothyroidism.
C: - Incorrect: Radioactive iodine is used to treat hyperthyroidism, not hypothyroidism.
D: - Incorrect: Thyroidectomy is typically reserved for patients with large goiters or thyroid cancer."
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-fp16-gguf,Thyroid disorders,"A 40-year-old woman presents with fatigue, weight gain, and constipation. Her TSH is elevated, and her free T4 is low.
What is the most appropriate treatment?",Levothyroxine,Methimazole,Radioactive iodine,Thyroidectomy,A,"A: - Correct: Levothyroxine is the treatment of choice for hypothyroidism.
B: - Incorrect: Methimazole is used to treat hyperthyroidism, not hypothyroidism.
C: - Incorrect: Radioactive iodine is used to treat hyperthyroidism, not hypothyroidism.
D: - Incorrect: Thyroidectomy is typically reserved for thyroid cancer or large goiters."
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-fp16-gguf,Adrenal disorders,"A 40-year-old woman presents with fatigue, weight loss, and hypotension. Her cortisol levels are low, and ACTH is elevated.
What is the most likely diagnosis?",Addison's disease,Cushing's syndrome,Primary hyperaldosteronism,Pheochromocytoma,A,"A: - Correct: Addison's disease is characterized by adrenal insufficiency, leading to low cortisol and elevated ACTH.
B: - Incorrect: Cushing's syndrome is caused by excess cortisol, not deficiency.
C: - Incorrect: Primary hyperaldosteronism causes hypertension, not hypotension.
D: - Incorrect: Pheochromocytoma causes episodic hypertension, not hypotension."
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-fp16-gguf,Pituitary & hypothalamic disorders,"A 40-year-old woman presents with fatigue, weight gain, and cold intolerance. Her TSH is elevated, and her free T4 is low.
What is the most likely diagnosis?",Hashimoto's thyroiditis,Graves' disease,Thyroid cancer,Pituitary adenoma,A,"A: - Correct: Hashimoto's thyroiditis is the most common cause of hypothyroidism and is characterized by elevated TSH and low T4.
B: - Incorrect: Graves' disease typically presents with low TSH and elevated T4, not elevated TSH.
C: - Incorrect: Thyroid cancer typically presents with a thyroid nodule, not with elevated TSH and low T4.
D: - Incorrect: A pituitary adenoma would cause low TSH and low T4, not elevated TSH."
HAJERI/gemma-3-12b-endocrinology-scenario-mcq-it-fp16-gguf,"Calcium, parathyroid & metabolic bone disease","A 60-year-old woman presents with fatigue, bone pain, and fractures. Her calcium level is low, and her PTH is elevated.
What is the most likely diagnosis?",Primary hyperparathyroidism,Secondary hyperparathyroidism,Osteoporosis,Vitamin D deficiency,B,"A: - Incorrect: Primary hyperparathyroidism typically presents with elevated calcium, not low calcium.
B: - Correct: Secondary hyperparathyroidism is caused by chronic kidney disease and leads to elevated PTH and low calcium.
C: - Incorrect: Osteoporosis can cause fractures but does not typically present with elevated PTH.
D: - Incorrect: Vitamin D deficiency can cause low calcium but does not typically present with elevated PTH."
